image_name,ball_id,center_x,center_y,diameter_px,ball_area_px,void_count,total_void_area_px,largest_void_area_px,void_ratio_percent,largest_void_ratio_percent,quality,is_estimated_pad,confidence
PCBA2_03.jpg,1,1942,819,80,5026.55,1,25,25,0.4974,0.4974,PASS,False,1.0
PCBA2_03.jpg,2,1800,827,94,6939.78,0,0,0,0.0,0.0,PASS,False,1.0
PCBA2_03.jpg,3,2209,829,86,5808.8,2,44,26,0.7575,0.4476,PASS,False,1.0
PCBA2_03.jpg,4,2072,830,88,6082.12,1,19,19,0.3124,0.3124,PASS,False,1.0
PCBA2_03.jpg,5,633,836,80,5026.55,3,195,119,3.8794,2.3674,PASS,False,1.0
PCBA2_03.jpg,6,1282,832,94,6939.78,2,54,31,0.7781,0.4467,PASS,False,1.0
PCBA2_03.jpg,7,752,834,86,5808.8,2,162,136,2.7889,2.3413,PASS,False,1.0
PCBA2_03.jpg,8,1553,835,84,5541.77,5,243,139,4.3849,2.5082,PASS,False,1.0
PCBA2_03.jpg,9,1687,831,76,4536.46,1,24,24,0.529,0.529,PASS,False,1.0
PCBA2_03.jpg,10,1151,834,80,5026.55,0,0,0,0.0,0.0,PASS,False,1.0
PCBA2_03.jpg,11,1019,835,82,5281.02,3,138,72,2.6131,1.3634,PASS,False,1.0
PCBA2_03.jpg,12,1410,838,94,6939.78,1,28,28,0.4035,0.4035,PASS,False,1.0
PCBA2_03.jpg,13,888,836,82,5281.02,1,19,19,0.3598,0.3598,PASS,False,1.0
PCBA2_03.jpg,14,245,840,90,6361.73,1,106,106,1.6662,1.6662,PASS,False,1.0
PCBA2_03.jpg,15,379,840,94,6939.78,2,48,31,0.6917,0.4467,PASS,False,1.0
PCBA2_03.jpg,16,502,839,78,4778.36,3,64,23,1.3394,0.4813,PASS,False,1.0
PCBA2_03.jpg,17,2220,920,86,5808.8,1,20,20,0.3443,0.3443,PASS,False,1.0
PCBA2_03.jpg,18,1824,922,94,6939.78,2,307,269,4.4238,3.8762,PASS,False,1.0
PCBA2_03.jpg,19,1426,947,90,6361.73,2,262,236,4.1184,3.7097,PASS,False,1.0
PCBA2_03.jpg,20,1161,927,92,6647.61,3,296,160,4.4527,2.4069,PASS,False,1.0
PCBA2_03.jpg,21,755,935,94,6939.78,2,225,114,3.2422,1.6427,PASS,False,1.0
PCBA2_03.jpg,22,1030,924,84,5541.77,1,281,281,5.0706,5.0706,PASS,False,1.0
PCBA2_03.jpg,23,1708,918,94,6939.78,2,109,67,1.5707,0.9654,PASS,False,1.0
PCBA2_03.jpg,24,225,923,94,6939.78,2,55,34,0.7925,0.4899,PASS,False,1.0
PCBA2_03.jpg,25,896,925,82,5281.02,2,376,312,7.1198,5.908,PASS,False,1.0
PCBA2_03.jpg,26,1557,946,88,6082.12,1,271,271,4.4557,4.4557,PASS,False,1.0
PCBA2_03.jpg,27,2070,930,94,6939.78,2,392,275,5.6486,3.9627,PASS,False,1.0
PCBA2_03.jpg,28,500,931,76,4536.46,3,401,176,8.8395,3.8797,PASS,False,1.0
PCBA2_03.jpg,29,368,932,80,5026.55,4,267,125,5.3118,2.4868,PASS,False,1.0
PCBA2_03.jpg,30,1891,908,68,3631.68,0,0,0,0.0,0.0,PASS,False,1.0
PCBA2_03.jpg,31,629,932,78,4778.36,0,0,0,0.0,0.0,PASS,False,1.0
PCBA2_03.jpg,32,1293,928,76,4536.46,3,167,85,3.6813,1.8737,PASS,False,1.0
PCBA2_03.jpg,33,1708,1019,86,5808.8,2,73,47,1.2567,0.8091,PASS,False,1.0
PCBA2_03.jpg,34,1963,1035,94,6939.78,1,215,215,3.0981,3.0981,PASS,False,1.0
PCBA2_03.jpg,35,2215,1013,94,6939.78,3,734,563,10.5767,8.1127,PASS,False,1.0
PCBA2_03.jpg,36,1824,1014,94,6939.78,3,267,172,3.8474,2.4785,PASS,False,1.0
PCBA2_03.jpg,37,2094,1013,94,6939.78,1,175,175,2.5217,2.5217,PASS,False,1.0
PCBA2_03.jpg,38,1560,1017,78,4778.36,4,313,217,6.5504,4.5413,PASS,False,1.0
PCBA2_03.jpg,39,1423,1018,80,5026.55,5,261,113,5.1924,2.2481,PASS,False,1.0
PCBA2_03.jpg,40,1160,1019,94,6939.78,2,47,24,0.6773,0.3458,PASS,False,1.0
PCBA2_03.jpg,41,627,1022,76,4536.46,3,248,156,5.4668,3.4388,PASS,False,1.0
PCBA2_03.jpg,42,760,1022,82,5281.02,3,304,243,5.7565,4.6014,PASS,False,1.0
PCBA2_03.jpg,43,897,1022,78,4778.36,0,0,0,0.0,0.0,PASS,False,1.0
PCBA2_03.jpg,44,359,1023,76,4536.46,2,333,169,7.3405,3.7254,PASS,False,1.0
PCBA2_03.jpg,45,493,1023,76,4536.46,2,288,204,6.3486,4.4969,PASS,False,1.0
PCBA2_03.jpg,46,219,1040,94,6939.78,1,72,72,1.0375,1.0375,PASS,False,1.0
PCBA2_03.jpg,47,1294,1028,74,4300.84,1,16,16,0.372,0.372,PASS,False,1.0
PCBA2_03.jpg,48,1027,1005,88,6082.12,2,241,225,3.9624,3.6994,PASS,False,1.0
PCBA2_03.jpg,49,1558,1109,84,5541.77,4,192,102,3.4646,1.8406,PASS,False,1.0
PCBA2_03.jpg,50,1289,1090,94,6939.78,3,732,555,10.5479,7.9974,PASS,False,1.0
PCBA2_03.jpg,51,2244,1130,94,6939.78,2,1103,1018,15.8939,14.6691,FAIL,False,1.0
PCBA2_03.jpg,52,764,1113,84,5541.77,2,220,197,3.9699,3.5548,PASS,False,1.0
PCBA2_03.jpg,53,1427,1111,78,4778.36,2,158,128,3.3066,2.6787,PASS,False,1.0
PCBA2_03.jpg,54,1158,1113,84,5541.77,4,228,90,4.1142,1.624,PASS,False,1.0
PCBA2_03.jpg,55,1707,1108,88,6082.12,4,288,119,4.7352,1.9566,PASS,False,1.0
PCBA2_03.jpg,56,1970,1113,94,6939.78,3,298,122,4.2941,1.758,PASS,False,1.0
PCBA2_03.jpg,57,621,1116,76,4536.46,2,175,116,3.8576,2.5571,PASS,False,1.0
PCBA2_03.jpg,58,215,1117,80,5026.55,4,135,56,2.6857,1.1141,PASS,False,1.0
PCBA2_03.jpg,59,488,1118,78,4778.36,1,75,75,1.5696,1.5696,PASS,False,1.0
PCBA2_03.jpg,60,2105,1120,94,6939.78,0,0,0,0.0,0.0,PASS,False,1.0
PCBA2_03.jpg,61,349,1116,78,4778.36,3,195,124,4.0809,2.595,PASS,False,1.0
PCBA2_03.jpg,62,1833,1120,90,6361.73,2,168,100,2.6408,1.5719,PASS,False,1.0
PCBA2_03.jpg,63,1025,1114,78,4778.36,3,160,82,3.3484,1.7161,PASS,False,1.0
PCBA2_03.jpg,64,883,1139,90,6361.73,1,25,25,0.393,0.393,PASS,False,1.0
PCBA2_03.jpg,65,1046,1216,94,6939.78,2,83,65,1.196,0.9366,PASS,False,1.0
