image_name,ball_id,center_x,center_y,diameter_px,ball_area_px,void_count,total_void_area_px,largest_void_area_px,void_ratio_percent,largest_void_ratio_percent,quality,is_estimated_pad,confidence,largest_void_diameter_percent,ipc_assessment
PCBA2_05.jpg,246,964,2392,94,6939.78,4,600,529,8.6458,7.6227,PASS,False,1.0,27.61,ACCEPTABLE
PCBA2_05.jpg,247,1116,2392,94,6939.78,4,388,197,5.591,2.8387,PASS,False,1.0,16.85,ACCEPTABLE
PCBA2_05.jpg,248,1265,2392,94,6939.78,3,227,149,3.271,2.147,PASS,False,1.0,14.65,ACCEPTABLE
PCBA2_05.jpg,249,1570,2392,94,6939.78,0,0,0,0.0,0.0,PASS,False,1.0,0.0,ACCEPTABLE
PCBA2_05.jpg,250,1720,2392,94,6939.78,0,0,0,0.0,0.0,PASS,False,1.0,0.0,ACCEPTABLE
PCBA2_05.jpg,251,1868,2392,94,6939.78,0,0,0,0.0,0.0,PASS,False,1.0,0.0,ACCEPTABLE
PCBA2_05.jpg,252,2020,2392,94,6939.78,1,113,113,1.6283,1.6283,PASS,False,1.0,12.76,ACCEPTABLE
PCBA2_05.jpg,253,2170,2392,94,6939.78,0,0,0,0.0,0.0,PASS,False,1.0,0.0,ACCEPTABLE
PCBA2_05.jpg,254,2474,2392,94,6939.78,1,13,13,0.1873,0.1873,PASS,False,1.0,4.33,ACCEPTABLE
PCBA2_05.jpg,255,2624,2392,94,6939.78,3,91,49,1.3113,0.7061,PASS,False,1.0,8.4,ACCEPTABLE
PCBA2_05.jpg,256,2334,2398,90,6361.73,2,346,197,5.4388,3.0966,PASS,False,1.0,17.6,ACCEPTABLE
